10000; 0.159
12000; 0.184
14000; 0.232
16000; 0.231
18000; 0.255
20000; 0.278
22000; 0.302
24000; 0.33
26000; 0.35
28000; 0.376
30000; 0.398
32000; 0.423
34000; 0.445
36000; 0.469
38000; 0.492
40000; 0.519
42000; 0.537
44000; 0.558
46000; 11.248
48000; 0.663
50000; 0.767
52000; 0.637
54000; 0.656
56000; 0.671
58000; 0.701
60000; 0.72
62000; 0.813
64000; 0.767
66000; 0.786
68000; 0.797
70000; 0.824
72000; 0.843
74000; 0.865
76000; 0.88
78000; 0.905
80000; 0.92
82000; 0.944
84000; 0.966
86000; 0.981
88000; 1.003
90000; 1.019
92000; 1.038
94000; 1.066
96000; 1.084
98000; 1.101
100000; 1.125
102000; 1.147
104000; 1.166
106000; 1.185
108000; 1.209
110000; 1.227
112000; 1.241
114000; 3.934
116000; 1.287
118000; 1.311
120000; 1.331
122000; 1.725
124000; 1.366
126000; 1.39
128000; 1.407
130000; 1.54
132000; 1.449
134000; 1.473
136000; 1.655
138000; 1.512
140000; 1.531
142000; 1.549
144000; 1.579
146000; 1.598
148000; 1.616
150000; 1.634
152000; 1.774
154000; 1.668
156000; 1.692
158000; 1.717
160000; 1.733
162000; 1.759
164000; 1.77
166000; 1.794
168000; 1.817
170000; 1.842
172000; 1.862
174000; 1.882
176000; 1.899
178000; 1.925
180000; 1.942
182000; 1.956
184000; 1.982
186000; 2.006
188000; 2.018
190000; 2.045
192000; 2.064
194000; 2.086
196000; 2.098
198000; 2.133
200000; 2.15
202000; 2.171
204000; 2.25
206000; 2.199
208000; 2.228
210000; 2.249
212000; 2.272
214000; 3.757
216000; 2.301
218000; 2.33
220000; 2.349
222000; 2.369
224000; 2.395
226000; 2.411
228000; 2.572
230000; 2.456
232000; 2.474
234000; 2.494
236000; 2.518
238000; 2.536
240000; 2.561
242000; 2.579
244000; 2.601
246000; 2.677
248000; 2.638
250000; 2.718
252000; 2.677
254000; 3.073
256000; 2.72
258000; 2.741
260000; 2.765
262000; 2.779
264000; 2.794
266000; 2.885
268000; 2.839
270000; 3.285
272000; 2.885
274000; 3.098
276000; 2.931
278000; 3.07
280000; 2.965
282000; 3.047
284000; 3.025
286000; 3.034
288000; 3.052
290000; 3.075
292000; 3.1
294000; 3.122
296000; 3.171
298000; 3.164
300000; 3.208
302000; 3.196
304000; 3.23
306000; 3.234
308000; 3.263
310000; 3.625
312000; 3.316
314000; 3.327
316000; 3.341
318000; 3.367
320000; 3.399
322000; 3.413
324000; 3.429
326000; 3.515
328000; 3.46
330000; 3.484
332000; 3.516
334000; 3.53
336000; 3.588
338000; 3.575
340000; 3.587
342000; 6.064
344000; 3.63
346000; 3.655
348000; 4.094
350000; 3.708
352000; 3.717
354000; 5.47
356000; 3.752
358000; 3.782
360000; 3.801
362000; 3.823
364000; 3.835
366000; 3.871
368000; 4.228
370000; 3.909
372000; 3.93
374000; 4.09
376000; 3.963
378000; 3.988
380000; 4.007
382000; 4.027
384000; 4.047
386000; 4.068
388000; 4.151
390000; 4.113
392000; 4.136
394000; 4.152
396000; 4.231
398000; 4.211
400000; 4.225
402000; 4.243
